Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.370003,113.389999,111.510002,113.330002,94.130867,118944600
2010-01-05,113.260002,113.680000,112.849998,113.629997,94.380074,111579900
2010-01-06,113.519997,113.989998,113.430000,113.709999,94.446495,116074400
2010-01-07,113.500000,114.330002,113.180000,114.190002,94.845207,131091100
2010-01-08,113.889999,114.620003,113.660004,114.570000,95.160805,126402800
2010-01-11,115.080002,115.129997,114.239998,114.730003,95.293701,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,94.404961,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,95.202347,161822000
2010-01-14,114.489998,115.139999,114.419998,114.930000,95.459831,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,94.388382,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,95.567795,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,94.596008,216490200
2010-01-21,113.919998,114.269997,111.559998,111.699997,92.777000,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,90.708870,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,91.173965,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,90.791885,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,91.223801,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,90.177261,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,89.197174,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,90.584244,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,91.680626,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,91.223801,172730700
2010-02-04,108.980003,109.029999,106.419998,106.440002,88.408119,356715700
2010-02-05,106.559998,106.879997,104.580002,106.660004,88.590858,493585800
2010-02-08,106.739998,107.330002,105.809998,105.889999,87.951279,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,89.055992,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,88.881561,240511500
2010-02-11,106.870003,108.250000,106.250000,108.129997,89.811798,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,89.737053,304622100
2010-02-16,108.860001,109.849998,107.820000,109.739998,91.149040,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,91.580986,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,92.120857,193708600
2010-02-19,110.620003,111.570000,110.360001,111.139999,92.311882,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,92.328499,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,91.207207,207497000
2010-02-24,110.139999,111.000000,109.860001,110.820000,92.046104,176350700
2010-02-25,109.239998,110.750000,108.940002,110.669998,91.921494,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,91.979668,173589300
2010-03-01,111.199997,112.000000,111.169998,111.889999,92.934830,147709700
2010-03-02,112.370003,112.739998,112.000000,112.199997,93.192322,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,93.275368,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,93.557755,135770400
2010-03-05,113.370003,114.339996,113.099998,114.250000,94.895035,176118800
2010-03-08,114.260002,114.519997,114.070000,114.269997,94.911652,114631200
2010-03-09,113.930000,114.989998,113.870003,114.459999,95.069458,154556700
2010-03-10,114.510002,115.279999,114.410004,114.970001,95.493050,186088800
2010-03-11,114.699997,115.480003,114.349998,115.449997,95.891739,160791100
2010-03-12,115.949997,115.970001,115.139999,115.459999,95.900024,162074800
2010-03-15,115.260002,115.570000,114.599998,115.489998,95.924965,146816800
2010-03-16,115.809998,116.519997,115.489998,116.410004,96.689117,168673000
2010-03-17,116.760002,117.480003,116.419998,117.099998,97.262215,177468100
2010-03-18,117.110001,117.269997,116.570000,117.040001,97.212379,196509100
2010-03-19,115.970001,117.290001,115.519997,115.970001,96.720314,226641100
2010-03-22,115.309998,116.800003,115.239998,116.589996,97.237389,184477800
2010-03-23,116.760002,117.510002,116.379997,117.410004,97.921288,182941600
2010-03-24,116.970001,117.430000,115.580002,116.839996,97.445908,196072600
2010-03-25,117.629997,118.169998,116.510002,116.650002,97.287453,223396300
2010-03-26,116.870003,117.419998,116.120003,116.580002,97.229057,205808500
2010-03-29,117.169998,117.529999,116.690002,117.320000,97.846230,134513500
2010-03-30,117.459999,117.830002,116.910004,117.400002,97.912949,145772500
2010-03-31,116.949997,117.519997,116.610001,117.000000,97.579323,161078700
2010-04-01,117.800003,118.250000,117.099998,117.800003,98.246552,161215200
2010-04-05,118.250000,118.839996,117.919998,118.760002,99.047180,105847600
2010-04-06,118.419998,119.250000,118.290001,119.040001,99.280731,110384200
